id,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
774cf58b,Max Aarons,eng ENG,DF,Norwich City,21,2000,32.0,0,13,2,15.4,0.41,0.06,0.00,0.00,19.9,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
f2bf1b0f,Che Adams,sct SCO,FW,Southampton,25,1996,22.7,7,49,24,49.0,2.16,1.06,0.14,0.29,13.3,0,0,0,7.1,7.1,0.15,-0.1,-0.1,Matches
9b398aea,Rayan Aït Nouri,fr FRA,"DF,MF",Wolves,20,2001,20.3,1,13,4,30.8,0.64,0.20,0.08,0.25,17.6,0,0,0,0.6,0.6,0.04,+0.4,+0.4,Matches
a8c0acb7,Kristoffer Ajer,no NOR,DF,Brentford,23,1998,22.2,1,7,1,14.3,0.32,0.05,0.14,1.00,8.8,0,0,0,0.8,0.8,0.11,+0.2,+0.2,Matches
eaeca114,Nathan Aké,nl NED,DF,Manchester City,26,1995,10.3,2,5,2,40.0,0.49,0.20,0.40,1.00,7.3,0,0,0,0.7,0.7,0.13,+1.3,+1.3,Matches
b827d5b3,Marc Albrighton,eng ENG,"FW,DF",Leicester City,31,1989,12.6,1,4,1,25.0,0.32,0.08,0.25,1.00,16.3,0,0,0,0.5,0.5,0.12,+0.5,+0.5,Matches
77e84962,Thiago Alcántara,es ESP,MF,Liverpool,30,1991,17.0,1,25,6,24.0,1.47,0.35,0.04,0.17,19.3,0,0,0,1.9,1.9,0.08,-0.9,-0.9,Matches
cd1acf9d,Trent Alexander-Arnold,eng ENG,DF,Liverpool,22,1998,31.7,2,51,15,29.4,1.61,0.47,0.04,0.13,24.0,8,0,0,2.4,2.4,0.05,-0.4,-0.4,Matches
7a2e46a8,Alisson,br BRA,GK,Liverpool,28,1992,36.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
cc700722,Allan,br BRA,MF,Everton,30,1991,24.3,0,7,3,42.9,0.29,0.12,0.00,0.00,24.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
