id,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
65d62814,Antonio Adán,es ESP,GK,Atlético Madrid,32,1987,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
293211e1,Aritz Aduriz,es ESP,"FW,MF",Athletic Club,38,1981,2.3,2,0.87,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
073b1b37,Lumor Agbenyenu,gh GHA,DF,Mallorca,22,1996,20.1,34,1.70,24,4,3,1,2,0,0,0.00,0,0,0,0,0,0,Matches
355c883a,Martin Agirregabiria,es ESP,DF,Alavés,23,1996,23.3,25,1.07,18,2,3,0,2,0,3,0.13,3,0,0,0,0,0,Matches
18abe173,Joseph Aidoo,gh GHA,DF,Celta Vigo,23,1995,27.8,12,0.43,7,2,1,2,0,0,2,0.07,2,0,0,0,0,0,Matches
4601e194,Jordi Alba,es ESP,DF,Barcelona,30,1989,24.3,51,2.10,50,1,0,0,0,0,6,0.25,6,0,0,0,0,0,Matches
4bd414c1,Raúl Albiol,es ESP,DF,Villarreal,33,1985,36.0,19,0.53,17,0,0,1,1,0,1,0.03,1,0,0,0,0,0,Matches
a7a9d95a,Paco Alcácer,es ESP,FW,Villarreal,25,1993,10.3,17,1.66,15,0,0,1,1,0,2,0.19,1,0,0,0,1,0,Matches
036bba5f,Rubén Alcaraz,es ESP,MF,Valladolid,28,1991,21.4,51,2.38,31,7,4,3,6,0,4,0.19,4,0,0,0,0,0,Matches
46166b49,Álex Alegría,es ESP,FW,Mallorca,26,1992,1.2,1,0.83,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
6c811eb7,Carles Aleñá,es ESP,MF,Barcelona,21,1998,1.9,1,0.52,1,0,0,0,0,0,1,0.52,1,0,0,0,0,0,Matches
6c811eb7,Carles Aleñá,es ESP,"MF,FW",Betis,21,1998,8.2,17,2.08,17,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
88d91621,Sergio Álvarez,es ESP,"MF,DF",Eibar,27,1992,12.7,9,0.71,6,0,1,1,0,1,0,0.00,0,0,0,0,0,0,Matches
8875b8c9,Sergio Álvarez,es ESP,GK,Celta Vigo,32,1986,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
3ecc11d8,Yeray Álvarez,es ESP,DF,Athletic Club,24,1995,31.2,21,0.67,17,1,1,0,2,0,1,0.03,1,0,0,0,0,0,Matches
9260926b,Ibrahim Amadou,fr FRA,MF,Leganés,26,1993,8.6,3,0.35,1,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
