id,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
5bc43860,Brenden Aaronson,us USA,"MF,FW",Leeds United,22-199,2000,25.6,771,686,84,26,8,2,70,5,37,16,14,1,575,1,26,Matches
f2bf1b0f,Che Adams,sct SCO,FW,Southampton,26-300,1996,22.1,498,490,7,0,6,7,12,4,0,0,0,0,330,1,17,Matches
2b09d998,Tyler Adams,us USA,MF,Leeds United,24-084,1999,24.0,1343,1271,72,58,1,2,2,14,0,0,0,0,1108,0,24,Matches
c81d773d,Tosin Adarabioyo,eng ENG,DF,Fulham,25-227,1997,20.2,1112,1058,47,38,2,8,2,6,0,0,0,0,903,7,9,Matches
288e1e13,Nayef Aguerd,ma MAR,DF,West Ham,27-040,1996,15.7,648,615,29,23,0,17,0,0,0,0,0,0,504,4,4,Matches
a6c58494,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,21-041,2002,1.0,46,45,1,0,0,0,2,0,0,0,0,0,37,0,0,Matches
9b398aea,Rayan Aït Nouri,dz ALG,DF,Wolves,21-337,2001,11.5,552,464,86,5,0,2,21,78,3,1,2,0,446,2,16,Matches
a8c0acb7,Kristoffer Ajer,no NOR,DF,Brentford,25-022,1998,8.5,345,293,51,7,0,4,6,44,0,0,0,0,259,1,8,Matches
89ac64a6,Manuel Akanji,ch SUI,DF,Manchester City,27-294,1995,23.8,1904,1853,50,24,0,7,5,26,0,0,0,0,1771,1,6,Matches
eaeca114,Nathan Aké,nl NED,DF,Manchester City,28-080,1995,20.1,1756,1630,124,33,1,6,15,91,0,0,0,0,1589,2,25,Matches
b827d5b3,Marc Albrighton,eng ENG,"FW,MF",Leicester City,33-172,1989,2.6,148,130,17,1,1,0,28,7,7,1,3,2,89,1,10,Matches
77e84962,Thiago Alcántara,es ESP,MF,Liverpool,32-028,1991,13.9,1097,1063,31,23,8,15,3,6,0,0,0,0,946,3,22,Matches
4abac767,Carlos Alcaraz,ar ARG,"MF,FW",Southampton,20-160,2002,8.9,227,218,7,0,1,3,3,1,0,0,0,0,173,2,8,Matches
cd1acf9d,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-214,1998,29.5,2620,2154,456,64,22,53,222,305,87,15,64,1,1972,10,31,Matches
7a2e46a8,Alisson,br BRA,GK,Liverpool,30-219,1992,35.0,1390,1142,244,54,0,2,0,0,0,0,0,0,1182,4,1,Matches
cea4ee8f,Dele Alli,eng ENG,MF,Everton,27-028,1996,0.4,15,13,2,1,0,0,0,0,0,0,0,0,12,0,0,Matches
862a1c15,Miguel Almirón,py PAR,FW,Newcastle Utd,29-088,1994,23.9,853,820,27,0,1,4,22,15,11,0,0,0,703,6,24,Matches
15ab5a2b,Julián Álvarez,ar ARG,"FW,MF",Manchester City,23-098,2000,12.9,400,380,16,1,6,2,20,3,2,2,0,0,311,4,15,Matches
1a4ef233,Daniel Amartey,gh GHA,DF,Leicester City,28-139,1994,17.9,1114,1092,20,15,2,2,0,5,0,0,0,0,1015,2,2,Matches
