id,Player,Nation
5f09991f,Patrick van Aanholt,nl NED
4d034881,Sergio Agüero,ar ARG
eaeca114,Nathan Aké,nl NED
b827d5b3,Marc Albrighton,eng ENG
f7d50789,Toby Alderweireld,be BEL
cd1acf9d,Trent Alexander-Arnold,eng ENG
7a2e46a8,Alisson,br BRA
cea4ee8f,Dele Alli,eng ENG
862a1c15,Miguel Almirón,py PAR
f4290206,Marcos Alonso,es ESP
1a4ef233,Daniel Amartey,gh GHA
77128f7e,Luke Amos,eng ENG
9f1893b9,Felipe Anderson,br BRA
dc008610,Florin Andone,ro ROU
ac05f970,Michail Antonio,jm JAM
97333cf5,Stuart Armstrong,sct SCO
00459419,Marko Arnautović,at AUT
28d596a0,Kepa Arrizabalaga,es ESP
2f4c5a52,Harry Arter,ie IRL
8816329f,Christian Atsu,gh GHA
d5dd5f1f,Pierre-Emerick Aubameyang,ga GAB
5c2b4f07,Serge Aurier,ci CIV
8d228291,Charlie Austin,eng ENG
da052c14,Jordan Ayew,gh GHA
fd5888a0,Floyd Ayité,tg TOG
53cad200,César Azpilicueta,es ESP
6438d426,Ryan Babel,nl NED
aaf1bf05,Juninho Bacuna,cw CUW
9dc69d38,Leandro Bacuna,cw CUW
a1232f4e,Eric Bailly,ci CIV
b18095b6,Leighton Baines,eng ENG
3626f7d9,Fabián Balbuena,py PAR
78e68b4d,Leon Balogun,ng NGA
5534217d,Sol Bamba,ci CIV
1ae30132,Phil Bardsley,sct SCO
3a24769f,Ross Barkley,eng ENG
2691c772,Ashley Barnes,eng ENG
3ea50f67,Harvey Barnes,eng ENG
6a189491,Antonio Barreca,it ITA
2973d8ff,Michy Batshuayi,be BEL
4115ce4e,Jan Bednarek,pl POL
7b4de647,Asmir Begović,ba BIH
f874dd44,Héctor Bellerín,es ESP
dc936144,Joe Bennett,eng ENG
0bad4516,Ryan Bennett,eng ENG
ab070c55,Christian Benteke,be BEL
f72293fc,Jóhann Berg Guðmundsson,is ISL
ab4b3e35,Bernard,br BRA
17370b95,Bernardo,br BRA
01226327,Ryan Bertrand,eng ENG
0d85a4e8,Marcus Bettinelli,eng ENG
d328a254,Philip Billing,dk DEN
6c203af0,Yves Bissouma,ml MLI
a4ac4b8f,Willy Boly,ci CIV
da23d58d,Léo Bonatini,br BRA
cfd5e123,Gaëtan Bong,cm CMR
34ccf6fa,Artur Boruc,pl POL
96bb8cc2,Robbie Brady,ie IRL
356a9a62,Miguel Britos,uy URU
dc4cae05,David Brooks,wls WAL
78803d03,Bruno,es ESP
af69e7f0,Joe Bryan,eng ENG
e608ed4c,David Button,eng ENG
a179d516,Willy Caballero,ar ARG
7914b9fe,Gary Cahill,eng ENG
a8748947,Tom Cairney,sct SCO
59e6e5bf,Dominic Calvert-Lewin,eng ENG
91b43c98,Rafael Camacho,pt POR
b2d03887,Víctor Camarasa,es ESP
5acc4a10,Étienne Capoue,fr FRA
b581987a,Andy Carroll,eng ENG
e28868f3,Jonny Castro,es ESP
89e4b358,Craig Cathcart,nir NIR
979b811d,Ivan Cavaleiro,pt POR
71672fa0,Petr Čech,cz CZE
422862ea,Nathaniel Chalobah,eng ENG
dc6f5bdd,Calum Chambers,eng ENG
d2424d1b,Ben Chilwell,eng ENG
2696b6a9,Tahith Chong,nl NED
7d2d3329,Hamza Choudhury,eng ENG
1cb49278,Andreas Christensen,dk DEN
7eb67dad,Cyrus Christie,ie IRL
be4fede9,Ibrahima Cissé,gn GUI
2b91cf8e,Ciaran Clark,ie IRL
6cdd8245,Tom Cleverley,eng ENG
0442183b,Nathaniel Clyne,eng ENG
2928dca2,Conor Coady,eng ENG
b73e459a,Joel Coleman,eng ENG
