id,Player,Nation
9f9e1b9c,Sabit Abdulai,gh GHA
81442ecb,Marcos Acuña,ar ARG
3ed84b2c,Bobby Adekanye,nl NED
355c883a,Martin Agirregabiria,es ESP
18abe173,Joseph Aidoo,gh GHA
f2a68b97,Carlos Akapo,gq EQG
31f5b89b,Paul Akouokou,ci CIV
788be7f9,Jony Álamo,es ESP
4601e194,Jordi Alba,es ESP
4bd414c1,Raúl Albiol,es ESP
a7a9d95a,Paco Alcácer,es ESP
ba71d071,Pedro Alcalá,es ESP
036bba5f,Rubén Alcaraz,es ESP
3d7e48ce,Iván Alejo,es ESP
6c811eb7,Carles Aleñá,es ESP
1c772b46,Alfon,es ESP
88d91621,Sergio Álvarez,es ESP
3ecc11d8,Yeray Álvarez,es ESP
69c5633e,Emmanuel Amankwaa Akurugu,gh GHA
c46736ab,Jon Ander Garrido,es ESP
b1e5bbec,Ángel,es ESP
3024e383,José Ángel,es ESP
56cafd0a,Miguel Ángel Rubio,es ESP
683788fd,José Antonio Miranda,gq EQG
f28876e5,Aritz Arambarri,es ESP
58afe001,Mauro Arambarri,uy URU
27a013f7,Néstor Araujo,mx MEX
2bef2bca,Ronald Araújo,uy URU
850c0a0d,Anaitz Arbilla,es ESP
74d9a90b,Unai Arietaleanizbeaskoa,es ESP
1e465e70,Sergio Arribas,es ESP
9f0ea33f,Sergio Asenjo,es ESP
45af8a54,Marco Asensio,es ESP
7dcf86f6,Iago Aspas,es ESP
12eda7be,Miguel Atienza,es ESP
253a06b9,Ezequiel Ávila,ar ARG
0cc474e7,Ramon Azeez,ng NGA
09a9e921,Carlos Bacca,co COL
e4346678,Édgar Badía,es ESP
518f2234,Alex Baena,es ESP
a98f3cbf,Miguel Baeza,es ESP
1fe67e86,Mikel Balenziaga,es ESP
0c717ae6,Barcia,es ESP
cac2537b,Enis Bardhi,mk MKD
aad53e64,Kike Barja,es ESP
74aa6ab7,Marc Baró,es ESP
487d9b09,Antonio Barragán,es ESP
200e89e1,Ander Barrenetxea,es ESP
b742cc0d,Marc Bartra,es ESP
42a028c5,Álvaro Bastida,es ESP
d637fc22,Rodrigo Battaglia,ar ARG
debc6b55,Jon Bautista,es ESP
ed5c5fa3,Fran Beltrán,es ESP
608bcb88,Sergio Benito,es ESP
70d74ece,Karim Benzema,fr FRA
b6e50615,Yuri Berchiche,es ESP
dc1c2fce,Álex Berenguer,es ESP
697295b1,Pedro Bigas,es ESP
506daeac,Blanco,es ESP
c4dce677,Alejandro Blanco,es ESP
967f34d3,Rubén Blanco,es ESP
d2ed99b4,Alejandro Blesa,es ESP
8c2c48a9,Yann Bodiger,fr FRA
f6798fc3,Yassine Bounou,ma MAR
d49f3e6b,Lucas Boyé,ar ARG
fd771f95,Martin Braithwaite,dk DEN
4accb7e0,Darko Brašanac,rs SRB
b3f97139,Álvaro Bravo,es ESP
10072610,Claudio Bravo,cl CHI
3d688b46,Yan Brice Eteki,cm CMR
c960cfdb,Juan Brunet,ar ARG
7b5ab7f2,Bryan,es ESP
8f3565b3,Ante Budimir,hr CRO
40449bbd,Esteban Burgos,ar ARG
45e304c8,Burgui,es ESP
5ab0ea87,Sergio Busquets,es ESP
e7ab4179,Erick Cabaco,uy URU
fe05804b,Cala,es ESP
6922f806,Jonathan Calleri,ar ARG
dd672e1f,Dani Calvo,es ESP
61220da2,José Campaña,es ESP
a6de370d,Sergio Canales,es ESP
4aa253fd,Álex Cantero,es ESP
37f1cf47,Ander Capa,es ESP
5acc4a10,Étienne Capoue,fr FRA
c4b888df,Isaac Carcelen,es ESP
e1846dde,Cárdenas,es ESP
b92b456a,Marc Cardona,es ESP
b4a014b1,Diego Carlos,br BRA
82803509,Juan Carlos,es ESP
de39485a,Yannick Carrasco,be BEL
8d6a9c93,Sergio Carreira,es ESP
8f898ba8,Guido Carrillo,ar ARG
4958bfb2,Dani Carvajal,es ESP
dee86451,William Carvalho,pt POR
4d224fe8,Casemiro,br BRA
37f04799,Sofian Chakla,ma MAR
7f203b54,Chema,es ESP
0ac94a23,Denis Cheryshev,ru RUS
b8a642fc,Samuel Chukwueze,ng NGA
ec1a731e,Víctor Chust,es ESP
90f83973,Cifu,es ESP
94084f83,Alberto Cifuentes,es ESP
04ac8285,Jasper Cillessen,nl NED
33a61a52,Carlos Clerc,es ESP
6d8f8441,Coke,es ESP
a6951bf8,Francis Coquelin,fr FRA
49ea92be,Iñigo Córdoba,es ESP
01eb744d,Ángel Correa,ar ARG
46bd3a5b,Rober Correa,es ESP
c78b352d,Thierry Correia,pt POR
a190d597,Diego Costa,es ESP
808d48f3,Jaume Costa,es ESP
1840e36d,Thibaut Courtois,be BEL
0ef89a37,Philippe Coutinho,br BRA
a56da3ba,Juan Cruz Armada,es ESP
d858d079,Sergio Cubero Ezcurra,es ESP
71b47ab9,Cucho,co COL
1daec722,Marc Cucurella,es ESP
a4fe8cda,Patrick Cutrone,it ITA
e7986081,Moussa Dembélé,fr FRA
b19db005,Ousmane Dembélé,fr FRA
5976f83e,Sergiño Dest,us USA
2e5e846d,Deyverson,br BRA
23c5db70,Abdoulay Diaby,ml MLI
d2110326,Mouctar Diakhaby,gn GUI
3624ce4c,Víctor Díaz,es ESP
7329018e,Papakouli Diop,sn SEN
a4971d84,Djené,tg TOG
ac295d9e,Marko Dmitrović,rs SRB
c9cb972b,Jaume Doménech,es ESP
3521abfe,Carlos Dominguez,es ESP
5e95c000,John Donald,es ESP
e208bcc8,Cheick Doukouré,ci CIV
685857dc,Idrissa Doumbia,ci CIV
93090f69,Domingos Duarte,pt POR
aa0ac32d,Óscar Duarte,cr CRC
1fe0492d,Rubén Duarte,es ESP
c261b5dd,Unai Dufur,es ESP
37e103f8,Hugo Duro,es ESP
f7dc2ae5,Aritz Elustondo,es ESP
fd47b4f2,Rodrigo Ely,br BRA
df8b52a5,Emerson,br BRA
04e17fd5,Youssef En-Nesyri,ma MAR
bb4b1242,Sergi Enrich,es ESP
67669ce7,Aarón Escandell,es ESP
5a36f180,Dani Escriche,es ESP
b0616e3d,Sergio Escudero,es ESP
db001fa9,Alfonso Espino,uy URU
ced26057,Vicente Esquerdo,es ESP
d38fdf53,Pervis Estupiñán,ec ECU
4a895384,Xabier Etxeita,es ESP
283c7121,Edu Expósito,es ESP
0f7dbaf6,Jokin Ezkieta,es ESP
72a84002,Fali,es ESP
0ba976e4,Ansu Fati,es ESP
bece776f,Nabil Fekir,fr FRA
51a3c4c8,Felipe,br BRA
8aafd64f,João Félix,pt POR
a01c3d54,Aitor Fernández,es ESP
aa677a35,Álex Fernández,es ESP
f127d782,Álvaro Fernández,es ESP
307fcd26,Andrés Fernández,es ESP
78c40e94,Augusto Fernández,ar ARG
e08647d6,Carlos Fernández,es ESP
b86a64b2,Joaquín Fernández,es ESP
41f32541,Fernando,br BRA
8970907e,David Ferreiro,es ESP
b39a793e,Facundo Ferreyra,ar ARG
eb82b6f1,Fidel,es ESP
24f59bb2,Junior Firpo,es ESP
954c26c9,Kingsley Fobi,gh GHA
dc56efc9,Ramón Folch,es ESP
1827a42d,José Fontán,es ESP
45e17712,Dimitri Foulquier,fr FRA
6c7762c3,Juan Foyth,ar ARG
38ce1150,Jorge de Frutos,es ESP
89cbc961,Ramiro Funes Mori,ar ARG
a4b00319,Javi Galán,es ESP
82e9b89d,Enric Gallego,es ESP
42276181,Kévin Gameiro,fr FRA
a10361d2,Aleix García,es ESP
e7f4603c,Borja García,es ESP
240d3a0b,Dani García,es ESP
3e42f707,David García,es ESP
05a4465d,Manu García,es ESP
1a317a1b,Raúl García,es ESP
b418dbd4,Raúl García,es ESP
5c96b017,Rubén García,es ESP
a039d52e,Sergi García,es ESP
4a633cfe,Unai García,es ESP
fb5d47b3,Mario Gaspar,es ESP
63d17038,Paulo Gazzaniga,ar ARG
fea23125,David Gil,es ESP
18017beb,Álvaro Giménez,es ESP
0e5ddc7c,Dani Gómez,es ESP
9d2a3d5f,Ibai Gómez,es ESP
4c2e9442,Maxi Gómez,uy URU
5a626448,Moi Gómez,es ESP
6e4df551,Papu Gómez,ar ARG
bc6f5f06,Sergi Gómez,es ESP
01e5f06e,Sergio Gómez,es ESP
b8c1de25,Maxime Gonalons,fr FRA
f11fe861,Bruno González,es ESP
4ac7608e,Diego González,es ESP
5dd16ace,Sergio González,es ESP
c4f5eb61,Urko González,es ESP
6f5f82c0,Andoni Gorosabel,es ESP
df69b544,Antoine Griezmann,fr FRA
ef322658,Andrés Guardado,mx MEX
32974271,Sergi Guardiola,es ESP
0076ab7f,Nemanja Gudelj,rs SRB
e6bc67d7,Gonçalo Guedes,pt POR
8e48dc61,Ander Guevara,es ESP
99bebd12,John Guidetti,se SWE
f7c12fbf,Hugo Guillamón,es ESP
4c0a6a48,Jon Guridi,es ESP
0b2c8585,Raúl Guti,es ESP
b3b62f94,Marcos Mauro López Gutiérrez,ar ARG
7e98cff1,Miguel Gutiérrez,es ESP
8696bc90,Munir El Haddadi,ma MAR
a39bb753,Eden Hazard,be BEL
555f3a0b,Mario Hermoso,es ESP
132ac341,Aridane Hernández,gq EQG
a8542814,Héctor Herrera,mx MEX
a4995f48,Sergio Herrera,es ESP
e778654a,Yangel Herrera,ve VEN
ba5a9545,Pablo Hervías,es ESP
8a6daac3,Jordan Holsgrove,sct SCO
ad1ffcfd,Vicente Iborra,es ESP
34caa4b3,Oussama Idrissi,ma MAR
974322dc,Iglesias,es ESP
75645f0e,Borja Iglesias,es ESP
5ce0b5ba,Asier Illarramendi,es ESP
4b5e7e90,Pablo Insua,es ESP
61bd33d0,Takashi Inui,jp JPN
8e92be30,Alexander Isak,se SWE
a0b4bb3e,Isco,es ESP
2ceb58ab,Jairo Izquierdo,es ESP
689c9cf4,Saidy Janko,gm GAM
4737cebe,Adnan Januzaj,be BEL
9038c2a1,Jason,es ESP
eeba07f8,Luis Javier Suárez,co COL
4c5b14d2,Joaquín,es ESP
fd01216a,John Joe,ie IRL
1bacc518,Frenkie de Jong,nl NED
abb3bb95,Luuk de Jong,nl NED
244f57b9,Jony,es ESP
2a0c8ba4,Joan Jordán,es ESP
5b28b2f6,Josan,es ESP
d87e2cae,Willian José,br BRA
6265208f,Joselu,es ESP
ed3f5f4c,Josema,es ESP
2b65fe46,Jota,pt POR
9f351459,Jota,es ESP
4d8cd038,Luka Jović,rs SRB
84399660,Juanmi,es ESP
7111d552,Vinicius Júnior,br BRA
53520a67,Jens Jønsson,dk DEN
bb6c6331,Damian Kądzior,pl POL
8455ad90,Lee Kangin,kr KOR
89d1e9fa,Stephane Keller,cm CMR
5eebbfdf,Kenedy,br BRA
e897d8ba,Kike,es ESP
3da1b6ed,Giorgi Kochorashvili,ge GEO
e82d2807,Kenan Kodro,ba BIH
3a58d075,Koba Koindredi,fr FRA
55126f3b,Koke,es ESP
cce181df,Geoffrey Kondogbia,cf CTA
e6eadfb8,Youssouf Koné,ml MLI
4d1666ff,Jules Koundé,fr FRA
6ce1f46f,Toni Kroos,de GER
16aa3654,Takefusa Kubo,jp JPN
2b6dc4d7,Kuki,es ESP
b7c99b9b,Víctor Laguardia,es ESP
bf12926c,Diego Lainez,mx MEX
8e088e04,Toni Lato,es ESP
f934c5c9,Lauti,uy URU
9a64e67e,Robin Le Normand,fr FRA
6c4776b1,Jeremías Ledesma,ar ARG
6eaed4eb,Florian Lejeune,fr FRA
59b7d823,Iñigo Lekue,es ESP
4dbd0916,Thomas Lemar,fr FRA
4f28a6ff,Clément Lenglet,fr FRA
d66b9872,Pedro León,es ESP
0a0cc13c,Sergio León,es ESP
bba30585,Diego Llorente,es ESP
02c15616,Marcos Llorente,es ESP
ed9f7cfe,Renan Lodi,br BRA
88a359d4,Adrián López,es ESP
e9ada8cf,Javi López,es ESP
a60823a4,Pedro López Muñoz,es ESP
2a8c9f98,Roberto López,es ESP
88050721,Unai López,es ESP
38699c72,Anthony Lozano,hn HON
8abefbcf,Jeison Lucumí,co COL
b05e2dbd,José Luis Gayà,es ESP
4a478107,José Luis Morales,es ESP
a7f00c8c,Luisinho,pt POR
c2cfbfc9,Luismi,es ESP
ed6ea4d9,Darwin Machís,ve VEN
5db04597,Pablo Maffeo,es ESP
ab99e4a0,Abdallahi Mahmoud,mr MTN
00b28772,Nemanja Maksimović,rs SRB
04981123,Filip Malbašić,rs SRB
cb574619,Hugo Mallo,es ESP
bbc19252,Mickael Malsa,mq MTQ
fbd6378b,Aïssa Mandi,dz ALG
f520049f,Eliaquim Mangala,fr FRA
ae86d473,Maranhão,br BRA
603116a7,Marcelo,br BRA
b14f755d,Iván Marcone,ar ARG
9f323c71,Óscar de Marcos,es ESP
6f4c734d,José Mari,es ESP
f0da930c,José María Giménez,uy URU
5c4dc0ff,Mariano,do DOM
b7f2edff,Adrián Marín,es ESP
0ae4e09a,Roger Martí,es ESP
2f3e911a,Aarón Martín,es ESP
80153344,Álex Martín,es ESP
