id,Player,Nation
8637e09a,Vincent Aboubakar,cm CMR
81442ecb,Marcos Acuña,ar ARG
c81d773d,Tosin Adarabioyo,eng ENG
9d8586c4,Adriano,br BRA
2557c196,Luiz Adriano,br BRA
42a632ba,Ansi Agolli,al ALB
4d034881,Sergio Agüero,ar ARG
0ff9eabc,Karim El Ahmadi,ma MAR
5d91cf0f,Valon Ahmedi,al ALB
2b1c4abd,Albian Ajeti,ch SUI
89ac64a6,Manuel Akanji,ch SUI
42ec696a,Igor Akinfeev,ru RUS
05439de2,David Alaba,at AUT
4601e194,Jordi Alba,es ESP
4bd414c1,Raúl Albiol,es ESP
a7a9d95a,Paco Alcácer,es ESP
77e84962,Thiago Alcántara,es ESP
f7d50789,Toby Alderweireld,be BEL
cd1acf9d,Trent Alexander-Arnold,eng ENG
e044ce1e,Nektarios Alexandrou,cy CYP
7a2e46a8,Alisson,br BRA
cc700722,Allan,br BRA
cea4ee8f,Dele Alli,eng ENG
67b3d74b,André Almeida,pt POR
ba6e52b0,André Almeida Pinto,pt POR
bdf8165d,Richard Almeida,az AZE
cb7786d5,Stathis Aloneftis,cy CYP
f4290206,Marcos Alonso,es ESP
8ce30c57,Éder Álvarez Balanta,co COL
c9e99e49,Dani Alves,br BRA
5a2cb25d,Sofyan Amrabat,ma MAR
9f31b1d3,André André,pt POR
2a70dcc9,Thanasis Androutsos,gr GRE
632e0184,Minas Antoniou,cy CYP
91976866,Mirko Antonucci,it ITA
feb5d3ab,Dennis Appiah,fr FRA
2f965a72,Alphonse Areola,fr FRA
97333cf5,Stuart Armstrong,sct SCO
963a328b,Tolgay Arslan,de GER
089550f5,Kwadwo Asamoah,gh GHA
45af8a54,Marco Asensio,es ESP
d5dd5f1f,Pierre-Emerick Aubameyang,ga GAB
97bfa797,Jean-Kévin Augustin,fr FRA
0e34de55,Filipe Augusto,br BRA
5c2b4f07,Serge Aurier,ci CIV
53fc526b,Márcio Azevedo,br BRA
53cad200,César Azpilicueta,es ESP
6438d426,Ryan Babel,nl NED
a1232f4e,Eric Bailly,ci CIV
ae8ec371,Gregor Bajde,si SVN
59bf127b,Tiemoué Bakayoko,fr FRA
509a4ccb,Keita Baldé,sn SEN
a58bb1e1,Gareth Bale,wls WAL
fa937f7a,Éver Banega,ar ARG
72d0e1b6,Gabriel Barbosa,br BRA
b742cc0d,Marc Bartra,es ESP
7c0000fd,Andrea Barzagli,it ITA
b9052bad,Bilal Başaçıkoğlu,tr TUR
2973d8ff,Michy Batshuayi,be BEL
d637fc22,Rodrigo Battaglia,ar ARG
49312f11,Sven van Beek,nl NED
942b4f90,Wissam Ben Yedder,fr FRA
b7e7937d,Diego Benaglio,ch SUI
3b15ef2d,Medhi Benatia,ma MAR
3b8674e6,Rodrigo Bentancur,uy URU
70d74ece,Karim Benzema,fr FRA
b6e50615,Yuri Berchiche,es ESP
84ad89fa,Aleksei Berezutski,ru RUS
a49fd565,Vasili Berezutski,ru RUS
713c144a,Steven Berghuis,nl NED
ab4b3e35,Bernard,br BRA
ee93c1a9,Federico Bernardeschi,it ITA
17370b95,Bernardo,br BRA
433dc9a2,Juan Bernat,es ESP
a3e1d20d,Jean-Claude Billong,cm CMR
f533776b,Nir Bitton,il ISR
691bef82,Daley Blind,nl NED
2db2fd7b,Jérôme Boateng,de GER
faa1b07d,Salvatore Bocchetti,it ITA
0ef05b3e,Frank Boeckx,be BEL
635f2732,Jean-Paul Boëtius,nl NED
4d1cea6a,Damjan Bohar,si SVN
e90af77c,Gabriel Boschilia,br BRA
7f6bff1f,Alberto Botía,es ESP
eef95b11,Eric Botteghin,br BRA
7c473e12,Dedryck Boyata,be BEL
56b5d64e,Yacine Brahimi,dz ALG
10072610,Claudio Bravo,cl CHI
0be28faf,Scott Brown,sct SCO
5caa62a7,Bruma,pt POR
4e18cf1c,Massimo Bruno,be BEL
a4f642c5,Kevin Bua,ch SUI
e40d028b,Gianluigi Buffon,it ITA
9d12e142,Roman Bürki,ch SUI
5ab0ea87,Sergio Busquets,es ESP
8a7a5ad7,Bohdan Butko,ua UKR
7914b9fe,Gary Cahill,eng ENG
22ca11f1,Fabrizio Caligara,it ITA
78841da9,José Callejón,es ESP
341a40ef,Igor de Camargo,be BEL
a65ce836,Emre Can,de GER
dc415e39,Mehdi Carcela,ma MAR
0d863fdc,Carlão,br BRA
de39485a,Yannick Carrasco,be BEL
8f898ba8,Guido Carrillo,ar ARG
4958bfb2,Dani Carvajal,es ESP
36b76751,João Carvalho,pt POR
dee86451,William Carvalho,pt POR
4d224fe8,Casemiro,br BRA
58bc7d18,Kiko Casilla,es ESP
1ddbb0da,Iker Casillas,es ESP
68829001,Gonzalo Castro,de GER
527f063d,Edinson Cavani,uy URU
c0617e2b,Dani Ceballos,es ESP
5e1028e5,Franco Cervi,ar ARG
f0faccb9,Bruno César,br BRA
f619413f,Júlio César,br BRA
042d286e,Fyodor Chalov,ru RUS
e85fb9b8,Giorgio Chiellini,it ITA
c9081f9a,Alexandru Chipciu,ro ROU
c316607a,Vlad Chiricheș,ro ROU
1cb49278,Andreas Christensen,dk DEN
04ac8285,Jasper Cillessen,nl NED
a1c2666d,Orkan Çınar,tr TUR
0442183b,Nathaniel Clyne,eng ENG
1fbbfbde,Sebastián Coates,uy URU
0f8bd0a6,Fábio Coentrão,pt POR
042e8a49,Kingsley Coman,fr FRA
3e99c613,Marvin Compper,de GER
0e7ccfc4,Sébastien Corchia,fr FRA
fb938d24,Jesús Corona,mx MEX
01eb744d,Ángel Correa,ar ARG
45b9b619,Joaquín Correa,ar ARG
4fa7cb9b,Douglas Costa,br BRA
1840e36d,Thibaut Courtois,be BEL
0ef89a37,Philippe Coutinho,br BRA
0ab1f153,Juan Cuadrado,co COL
db4ed67b,Mahmoud Dahoud,de GER
d9565625,Diogo Dalot,pt POR
