id,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
1c529186,Ignazio Abate,it ITA,DF,it Milan,30,1986,3.8,4,3,2,2,0,1,1,100.0,0,3,0,3,0,4,9,0,Matches
c2304da8,Hatem Abd Elhamed,il ISR,DF,il Be'er Sheva,26,1991,5.2,19,12,10,8,1,3,5,60.0,2,6,2,4,18,37,21,2,Matches
2f798b41,Aymen Abdennour,tn TUN,DF,fr Marseille,27,1989,2.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,10,0,Matches
4c07f0e8,Anicet Abel,mg MAD,MF,bg Ludogorets,27,1990,7.9,18,17,10,5,3,7,15,46.7,8,15,4,11,17,35,13,1,Matches
64a674d9,Maxwell Acosty,gh GHA,"FW,MF",hr Rijeka,25,1991,3.7,6,6,3,1,2,2,2,100.0,0,1,0,1,2,8,3,0,Matches
81442ecb,Marcos Acuña,ar ARG,"FW,DF",pt Sporting CP,25,1991,4.5,14,11,7,2,5,4,5,80.0,1,7,0,7,2,16,0,0,Matches
936d9e3e,Emmanuel Adebayor,tg TOG,FW,tr Başakşehir,33,1984,0.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
884a8908,Samuel Adegbenro,ng NGA,FW,no Rosenborg,21,1995,5.8,6,3,4,1,1,3,4,75.0,1,3,0,3,6,12,2,0,Matches
182c10aa,James Adeniyi,ng NGA,"FW,MF",al Skënderbeu Korçë,24,1992,4.8,6,4,2,3,1,1,3,33.3,2,3,1,2,3,9,3,0,Matches
2557c196,Luiz Adriano,br BRA,FW,ru Spartak Moscow,30,1987,2.0,1,1,0,1,0,0,0,,0,2,0,2,0,1,5,0,Matches
293211e1,Aritz Aduriz,es ESP,FW,es Athletic Club,36,1981,8.9,3,2,1,2,0,2,2,100.0,0,3,0,3,0,3,4,0,Matches
e3207d47,Luka Adžić,rs SRB,FW,rs Red Star,18,1998,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
f9c927de,Michel Aebischer,ch SUI,MF,ch Young Boys,20,1997,3.9,9,3,4,4,1,2,10,20.0,8,5,2,3,5,14,2,0,Matches
c84c1afc,Imanol Agirretxe,es ESP,FW,es Real Sociedad,30,1987,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
9d01ec0f,Hosam Aiesh,sy SYR,"MF,FW",se Östersund,22,1995,1.7,11,8,8,3,0,3,4,75.0,1,2,0,2,0,11,2,0,Matches
aeee3365,Astrit Ajdarević,al ALB,"MF,FW",gr AEK Athens,27,1990,0.9,1,1,1,0,0,0,0,,0,0,0,0,0,1,2,0,Matches
a8c0acb7,Kristoffer Ajer,no NOR,DF,sct Celtic,19,1998,2.0,5,4,4,1,0,3,3,100.0,0,2,0,2,1,6,12,0,Matches
c5eaff5c,Ager Aketxe,es ESP,MF,es Athletic Club,23,1993,0.7,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,Matches
42ec696a,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,31,1986,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
5294a83f,Luis Alberto,es ESP,"MF,FW",it Lazio,24,1992,7.2,10,8,0,8,2,1,15,6.7,14,6,0,6,7,17,2,0,Matches
4bd414c1,Raúl Albiol,es ESP,DF,it Napoli,31,1985,1.0,0,0,0,0,0,0,0,,0,2,1,1,1,1,7,0,Matches
d849ef0f,Alef,br BRA,"MF,DF",cy Apollon Limassol,22,1995,5.0,13,7,8,5,0,4,11,36.4,7,8,3,5,8,21,17,0,Matches
d40cff47,Mukhtar Ali,sa KSA,MF,nl Vitesse,19,1997,0.1,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,Matches
2b59d76f,Ömer Ali Şahiner,tr TUR,"FW,DF",tr Konyaspor,25,1992,5.0,10,8,5,4,1,4,8,50.0,4,7,1,6,10,20,9,0,Matches
a1474d8e,Denis Alibec,ro ROU,FW,ro FCSB,26,1991,2.6,0,0,0,0,0,0,1,0.0,1,3,0,3,0,0,0,0,Matches
5c46e908,Fidan Aliti,xk KVX,DF,al Skënderbeu Korçë,23,1993,4.2,6,5,5,1,0,3,6,50.0,3,5,2,3,11,17,16,0,Matches
b15e93aa,Allan,br BRA,MF,cy Apollon Limassol,20,1997,3.6,8,8,4,4,0,0,3,0.0,3,4,0,4,3,11,1,0,Matches
cc700722,Allan,br BRA,MF,it Napoli,26,1991,1.3,5,3,2,3,0,1,4,25.0,3,1,0,1,2,7,0,0,Matches
ba6e52b0,André Almeida Pinto,pt POR,DF,pt Sporting CP,27,1989,4.3,4,1,2,2,0,1,6,16.7,5,2,1,1,11,15,23,0,Matches
3ecc11d8,Yeray Álvarez,es ESP,DF,es Athletic Club,22,1995,3.5,11,8,7,4,0,6,8,75.0,2,4,3,1,7,18,22,0,Matches
84566787,Danny Amankwaa,dk DEN,MF,dk FC Copenhagen,23,1994,0.3,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,Matches
22721b88,Jordan Amavi,fr FRA,DF,fr Marseille,23,1994,11.2,35,25,20,9,6,17,29,58.6,12,17,4,13,26,61,60,0,Matches
555d5edd,Nadiem Amiri,de GER,"MF,FW",de Hoffenheim,20,1996,2.6,2,2,1,1,0,1,3,33.3,2,4,0,4,1,3,1,1,Matches
